SVR,,K-NN,,LS,,,Ensemble
66.66666667,0.155877536,56.66666667,0.286668333,73.33333333,0.150855888,,70
71.66666667,0.15804964,43.33333333,0.293901667,75,0.170572347,,76.66666667
60,0.199568205,45,0.294258333,55,0.189382523,,61.66666667
75,0.153333539,50,0.276736667,75,0.151986263,,73.33333333
78.33333333,0.163548556,50,0.302835,78.33333333,0.164681105,,83.33333333
65,0.17670049,45,0.344686667,65,0.174307962,,70
60,0.187389617,40,0.310868333,55,0.188733376,,53.33333333
68.33333333,0.160578448,43.33333333,0.331273333,73.33333333,0.172782306,,71.66666667
68.33333333,0.155728043,48.33333333,0.339246667,68.33333333,0.158709688,,66.66666667
76.36363636,0.154795072,54.54545455,0.277410909,70.90909091,0.160619839,,78.18181818
73.33333333,0.14185667,48.33333333,0.330233333,73.33333333,0.138011095,,73.33333333
66.66666667,0.176025228,31.66666667,0.37278,60,0.181357686,,66.66666667
63.07692308,0.182060569,26.15384615,0.381332308,63.07692308,0.181519505,,66.15384615
63.33333333,0.178807485,43.33333333,0.34954,60,0.193737415,,66.66666667
70.90909091,0.144444295,52.72727273,0.280978182,70.90909091,0.148365008,,70.90909091
63.33333333,0.177989918,28.33333333,0.40915,61.66666667,0.175092644,,63.33333333
70,0.155155683,45,0.343318333,66.66666667,0.16311392,,71.66666667
60,0.187994702,40,0.333295,65,0.194564461,,63.33333333
66.66666667,0.163619726,53.33333333,0.286051667,63.33333333,0.167634174,,63.33333333
75,0.19353413,60,0.254066667,61.66666667,0.19177202,,66.66666667
61.81818182,0.186706453,54.54545455,0.294283636,60,0.198016165,,60
70,0.162184553,40,0.328215,65,0.171445204,,60
80,0.113844977,56.66666667,0.28348,83.33333333,0.109059476,,83.33333333
65,0.192354113,51.66666667,0.322618333,68.33333333,0.185726474,,68.33333333
53.33333333,0.200089413,40,0.35697,51.66666667,0.201661386,,56.66666667
61.66666667,0.174659443,41.66666667,0.305073333,60,0.179226691,,63.33333333
75,0.141762928,56.66666667,0.290955,75,0.143273625,,76.66666667
65.45454545,0.171923581,43.63636364,0.348836364,67.27272727,0.175433183,,61.81818182
61.66666667,0.186726352,41.66666667,0.359486667,55,0.198749015,,60
50,0.217477383,38.33333333,0.332196667,46.66666667,0.22142576,,51.66666667
73.33333333,0.15838287,58.33333333,0.288901667,68.33333333,0.157880183,,68.33333333
63.33333333,0.202646603,50,0.287406667,56.66666667,0.207431284,,61.66666667
65,0.185289315,58.33333333,0.272255,60,0.197247989,,66.66666667
71.66666667,0.158251173,48.33333333,0.305805,68.33333333,0.154205909,,75
55,0.214018382,45,0.284013333,43.33333333,0.216450743,,55
67.27272727,0.166135802,54.54545455,0.273183636,63.63636364,0.177326986,,65.45454545
51.66666667,0.235258103,30,0.391416667,43.33333333,0.24730464,,50
68.33333333,0.177791783,45,0.276018333,66.66666667,0.178793897,,65
58.33333333,0.20514115,35,0.35028,46.66666667,0.220596067,,58.33333333
72.72727273,0.162698611,52.72727273,0.254721818,69.09090909,0.167215632,,63.63636364
71.66666667,0.168454088,55,0.25996,71.66666667,0.160124136,,70
70,0.172128567,55,0.26871,68.33333333,0.166082731,,70
68.33333333,0.173064883,38.33333333,0.362583333,58.33333333,0.191003841,,66.66666667
68.33333333,0.173453243,43.33333333,0.315723333,60,0.182328418,,61.66666667
65,0.181735875,43.33333333,0.323431667,61.66666667,0.182314198,,63.33333333
68.33333333,0.150660535,61.66666667,0.251265,70,0.145120394,,71.66666667
56.66666667,0.196447863,38.33333333,0.326971667,56.66666667,0.19264272,,51.66666667
70.90909091,0.148631093,49.09090909,0.299803636,72.72727273,0.146443429,,72.72727273
70,0.143477713,36.66666667,0.338488333,70,0.150396206,,71.66666667
70,0.178724693,46.66666667,0.267211667,66.66666667,0.187678319,,70
61.66666667,0.1819986,35,0.374553333,63.33333333,0.180885672,,71.66666667
73.33333333,0.143791687,36.66666667,0.311406667,70,0.151654567,,73.33333333
61.66666667,0.176668521,55,0.329458333,65,0.178544933,,65
73.33333333,0.149147766,50,0.311513333,70,0.175716595,,78.33333333
68.33333333,0.170709288,70,0.201048333,68.33333333,0.184255007,,70
51.66666667,0.189757367,35,0.302286667,50,0.190887805,,48.33333333
63.33333333,0.191940367,43.33333333,0.304031667,58.33333333,0.191422449,,61.66666667
53.33333333,0.201255708,35,0.339576667,55,0.191906278,,51.66666667
55,0.188599303,55,0.291468333,61.66666667,0.172528737,,63.33333333
63.33333333,0.1903035,31.66666667,0.332476667,50,0.200160762,,61.66666667
83.33333333,0.125445639,45,0.372376667,75,0.149970452,,76.66666667
53.33333333,0.25296606,45,0.307778333,45,0.266745827,,46.66666667
50,0.195427607,50,0.29239,53.33333333,0.200222578,,41.66666667
58.33333333,0.178638414,43.33333333,0.372313333,61.66666667,0.186409236,,60
66.66666667,0.191556183,26.66666667,0.388693333,60,0.191281937,,56.66666667
56.66666667,0.191210357,41.66666667,0.307046667,58.33333333,0.190709135,,56.66666667
78.18181818,0.129136062,43.63636364,0.308372727,78.18181818,0.142808862,,76.36363636
81.81818182,0.119737727,50.90909091,0.288563636,81.81818182,0.116749312,,81.81818182
61.66666667,0.18665252,35,0.329951667,63.33333333,0.181802013,,60
72.72727273,0.143692744,49.09090909,0.282836364,70.90909091,0.150593974,,70.90909091
80,0.135732528,46.66666667,0.350046667,75,0.1481122,,81.66666667
83.33333333,0.124383379,51.66666667,0.310478333,78.33333333,0.131639086,,81.66666667
68.33333333,0.179740087,40,0.348925,61.66666667,0.196196702,,68.33333333
75,0.14461835,48.33333333,0.263315,73.33333333,0.149850029,,80
63.33333333,0.1855592,33.33333333,0.344536667,48.33333333,0.215989285,,60
