SVR,,K-NN,,LS,,,Ensemble
84.44444444,0.108350314,64.44444444,0.23404,82.22222222,0.10860082,,82.22222222
78,0.130341906,44,0.277776,76,0.144406451,,78
74,0.16155322,48,0.261768,68,0.168665683,,72
77.77777778,0.120178982,53.33333333,0.226142222,82.22222222,0.11267407,,77.77777778
86,0.123146014,52,0.288052,84,0.125998169,,88
74,0.147693884,46,0.309196,72,0.149036693,,76
66.66666667,0.157251731,42.22222222,0.280553333,66.66666667,0.154495229,,66.66666667
62.22222222,0.172454442,42.22222222,0.3221,73.33333333,0.174853258,,73.33333333
73.33333333,0.147112087,46.66666667,0.331413333,73.33333333,0.145244084,,75.55555556
80,0.122452883,47.5,0.3281525,82.5,0.127041881,,80
74,0.13133171,48,0.318556,74,0.128447891,,74
70,0.164556664,32,0.365598,70,0.16098445,,72
70.90909091,0.160764236,27.27272727,0.350769091,72.72727273,0.160288592,,72.72727273
74,0.141296628,50,0.297266,70,0.162736272,,72
75.55555556,0.131248898,48.88888889,0.291586667,73.33333333,0.132378151,,71.11111111
78,0.134298534,32,0.372916,78,0.13913783,,78
73.33333333,0.131110184,48.88888889,0.292384444,80,0.129981911,,75.55555556
72,0.167201043,36,0.337612,72,0.172528827,,70
68.88888889,0.144665797,51.11111111,0.295084444,66.66666667,0.146966708,,68.88888889
86,0.144674806,64,0.215284,80,0.145966872,,86
66.66666667,0.167918351,51.11111111,0.293275556,66.66666667,0.168567092,,64.44444444
78,0.144243256,38,0.318432,70,0.151074511,,76
93.33333333,0.085218387,57.77777778,0.248177778,93.33333333,0.079500226,,93.33333333
75.55555556,0.137219473,57.77777778,0.27452,75.55555556,0.149316739,,75.55555556
58,0.193036052,40,0.36422,64,0.188962355,,66
66,0.15112412,44,0.278906,70,0.161658163,,66
86.66666667,0.104153004,57.77777778,0.259857778,82.22222222,0.1136355,,86.66666667
73.33333333,0.14329194,42.22222222,0.336715556,71.11111111,0.152051335,,71.11111111
66,0.1597898,42,0.34523,66,0.166526592,,64
60,0.170887,36,0.320504,62,0.180346065,,62
73.33333333,0.162513624,60,0.266497778,73.33333333,0.151392721,,73.33333333
64,0.16921584,46,0.269062,64,0.171359853,,64
70,0.166804294,62,0.251846,68,0.154445774,,70
82.22222222,0.137545189,53.33333333,0.254188889,82.22222222,0.129248336,,80
64.44444444,0.188875444,46.66666667,0.27572,57.77777778,0.187405451,,57.77777778
86.66666667,0.113764662,57.77777778,0.240544444,82.22222222,0.124038425,,86.66666667
62,0.20474633,28,0.398484,46,0.236661698,,54
72,0.147974032,48,0.244364,72,0.145736445,,72
60,0.185892114,34,0.336362,58,0.195438969,,58
71.11111111,0.148740269,51.11111111,0.256562222,71.11111111,0.157387145,,66.66666667
82,0.132613371,60,0.204726,84,0.126199248,,82
73.33333333,0.139825227,53.33333333,0.259128889,75.55555556,0.129748346,,73.33333333
64,0.162341082,38,0.337442,62,0.175903701,,68
75.55555556,0.150965076,42.22222222,0.281104444,73.33333333,0.152642147,,73.33333333
74,0.155544006,46,0.284644,68,0.159452439,,68
72.72727273,0.141823005,61.81818182,0.239410909,74.54545455,0.133205756,,74.54545455
56,0.180849932,34,0.33327,54,0.172710674,,54
73.33333333,0.134106489,48.88888889,0.294957778,73.33333333,0.13837424,,75.55555556
76,0.130364,38,0.335344,76,0.137748607,,72
72,0.15769479,52,0.260296,70,0.15876246,,72
64,0.17610698,38,0.351938,62,0.172402071,,68
76,0.130651004,34,0.305914,80,0.139458385,,76
84.44444444,0.114508308,64.44444444,0.254057778,77.77777778,0.131828634,,84.44444444
80,0.138826698,48.88888889,0.2947,77.77777778,0.143981805,,80
80,0.129633609,73.33333333,0.170997778,77.77777778,0.137102668,,77.77777778
62,0.18217572,34,0.2952,56,0.173593445,,58
68.88888889,0.172139022,46.66666667,0.275886667,64.44444444,0.169558915,,71.11111111
60,0.169948262,36,0.322714,62,0.162617628,,64
70,0.145623354,56,0.263854,72,0.147460538,,74
70,0.175497262,30,0.331672,62,0.185023752,,64
82,0.120133762,50,0.330218,82,0.130323001,,84
50.90909091,0.239334,43.63636364,0.294545455,56.36363636,0.237117289,,56.36363636
50,0.204042456,46,0.287822,52,0.193626374,,52
66.66666667,0.173705911,44.44444444,0.359133333,62.22222222,0.181390198,,66.66666667
72,0.1671303,26,0.37057,62,0.172674103,,66
58.18181818,0.17949938,43.63636364,0.301516364,56.36363636,0.179768481,,58.18181818
84.44444444,0.096613539,53.33333333,0.260615556,86.66666667,0.10222041,,86.66666667
86.66666667,0.105293634,57.77777778,0.2497,88.88888889,0.106168646,,88.88888889
70,0.147140374,34,0.314598,70,0.147643402,,68
68.88888889,0.136474833,44.44444444,0.278042222,68.88888889,0.149290442,,73.33333333
88.88888889,0.114243478,44.44444444,0.340324444,86.66666667,0.12852071,,86.66666667
84.44444444,0.1018946,53.33333333,0.294446667,88.88888889,0.103226659,,86.66666667
68.88888889,0.14451002,44.44444444,0.318822222,64.44444444,0.146324039,,73.33333333
82,0.120982744,52,0.236948,84,0.124223504,,86
64,0.182784696,32,0.326192,48,0.201961143,,62
